"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Glory ",122,"Edward Zwick",380,"Denzel Washington",18000,"Morgan Freeman",11000,"Matthew Broderick",2000,60,365,101889,32930,0,"army|black soldier|military uniform|prejudice|u.s. civil war",3,"Color","Drama|History|War",1989,"English","USA","R",1.85,"http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1",26830000,1.8e+07,7.9
"Bobby ",112,"Emilio Estevez",0,"Anthony Hopkins",12000,"Nick Cannon",593,"Brian Geraghty",383,195,270,38142,13528,0,"campaign|chess|friend|hotel|senator",0,"Color","Drama|History",2006,"English","USA","R",2.35,"http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1",11204499,1.4e+07,7
"Airborne ",91,"Rob Bowman",38,"Alanna Ubach",584,"Jacob Vargas",399,"Brittney Powell",117,9,70,5061,1218,0,"cincinnati ohio|high school|hockey|jock strap|zoologist",0,"Color","Adventure|Comedy|Sport",1993,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1",2850263,2600000,6.2
"Annie Get Your Gun ",107,"George Sidney",24,"Keenan Wynn",277,"Howard Keel",244,"Betty Hutton",83,21,90,3167,731,456,"girl|gun|love|sharpshooter|the end",0,"Color","Biography|Comedy|Musical|Romance|Western",1950,"English","USA","Passed",1.37,"http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1",8000000,3768785,7
"Coco Before Chanel ",111,"Anne Fontaine",105,"Alessandro Nivola",527,"Benoît Poelvoorde",86,"Marie Gillain",64,165,65,32003,735,0,"baron|fashion|hat|nickname|orphanage",1,"Color","Biography|Drama",2009,"French","France","PG-13",2.35,"http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1",6109075,19430000,6.7
"The Illusionist ",110,"Neil Burger",168,"Rufus Sewell",3000,"Eddie Marsan",979,"Jake Wood",96,236,645,295375,4210,15000,"duchess|illusionist|magician|prince|supernatural power",3,"Color","Drama|Mystery|Romance|Thriller",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1",39825798,1.6e+07,7.6
"The Town ",150,"Ben Affleck",0,"Jeremy Renner",10000,"Jon Hamm",4000,"Owen Burke",206,378,420,280228,14296,29000,"bank manager|bank robbery|criminal gang|heist|prison",7,"Color","Crime|Drama|Thriller",2010,"English","USA","R",2.35,"http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1",92173235,3.7e+07,7.6
"The Prophecy ",98,"Gregory Widen",10,"Viggo Mortensen",10000,"Adam Goldberg",1000,"Virginia Madsen",912,56,194,24438,13433,0,"angel|corpse|girl|heaven|soul",0,"Color","Action|Fantasy|Horror|Mystery|Thriller",1995,"English","USA","R",2.35,"http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1",16115878,8e+06,6.6
"Seven Pounds ",123,"Gabriele Muccino",125,"Will Smith",10000,"Rosario Dawson",3000,"Madison Pettis",835,202,599,232710,14727,26000,"boyfriend girlfriend relationship|heart|main character dies|organ donor|redemption",1,"Color","Drama|Romance",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1",69951824,5.5e+07,7.7
"The Rundown ",104,"Peter Berg",532,"Dwayne Johnson",12000,"Rosario Dawson",3000,"Ewen Bremner",557,151,255,82731,16930,0,"amazon|bounty hunter|fight|hunter|jungle",1,"Color","Action|Adventure|Comedy|Thriller",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1",47592825,8.5e+07,6.7
"Terminator Salvation ",118,"McG",368,"Christian Bale",23000,"Bryce Dallas Howard",3000,"Common",988,422,974,286095,27468,0,"death row|future|machine|rescue|skynet",0,"Color","Action|Adventure|Sci-Fi",2009,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1",125320003,2e+08,6.6
"Cloud Atlas ",172,"Tom Tykwer",670,"Tom Hanks",15000,"Jim Sturgess",5000,"Jim Broadbent",1000,511,828,284825,22686,124000,"composer|future|letter|nonlinear timeline|nursing home",5,"Color","Drama|Sci-Fi",2012,"English","Germany","R",2.35,"http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1",27098580,1.02e+08,7.5
"Clockstoppers ",94,"Jonathan Frakes",906,"Michael Biehn",2000,"Paula Garcés",587,"Jason George",528,69,94,11212,3917,874,"frozen time|stopped time|time freeze|watch|wristwatch",0,"Color","Action|Adventure|Comedy|Sci-Fi|Thriller",2002,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1",36985501,2.6e+07,5.2
"Drive ",100,"Nicolas Winding Refn",0,"Ryan Gosling",33000,"Albert Brooks",745,"Russ Tamblyn",228,676,1264,431578,34337,81000,"kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist",0,"Color","Crime|Drama",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1",35054909,1.5e+07,7.8
"Mr. & Mrs. Smith ",126,"Doug Liman",218,"Brad Pitt",11000,"Angelina Jolie Pitt",11000,"Stephanie March",322,233,798,348861,22722,0,"assassin|marriage|secret agent|suburb|target",2,"Color","Action|Comedy|Crime|Romance|Thriller",2005,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1",186336103,1.2e+08,6.5
"The Incredibly True Adventure of Two Girls in Love ",94,"Maria Maggenti",4,"Nicole Ari Parker",360,"Laurel Holloman",273,"Stephanie Berry",10,23,36,3513,656,423,"caught having sex|class|friend|lesbian|lesbian sex",0,"Color","Comedy|Drama|Romance",1995,"English","USA","R",1.85,"http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1",1977544,250000,6.5
"And So It Goes ",94,"Rob Reiner",0,"Yaya DaCosta",712,"Annie Parisse",341,"Frankie Valli",197,107,48,8895,1673,3000,"four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer",2,"Color","Comedy|Drama|Romance",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1",15155772,1.8e+07,5.7
"Time Bandits ",103,"Terry Gilliam",0,"Shelley Duvall",629,"Michael Palin",561,"Kenny Baker",504,139,177,45890,2730,0,"cult director|dwarf|robin hood|satire|treasure",0,"Color","Adventure|Comedy|Fantasy|Sci-Fi",1981,"English","UK","PG",1.85,"http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1",42365600,5e+06,7
"Pitch Perfect ",112,"Jason Moore",36,"Anna Kendrick",10000,"Hana Mae Lee",751,"Ben Platt",746,223,250,213898,12676,36000,"a cappella|competition|dj|female protagonist|lesbian",4,"Color","Comedy|Music|Romance",2012,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1",64998368,1.7e+07,7.2
"Allegiant ",120,"Robert Schwentke",124,"Naomi Watts",6000,"Theo James",5000,"Zoë Kravitz",943,181,144,44296,12452,12000,"based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead",3,"Color","Action|Adventure|Mystery|Sci-Fi|Thriller",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1",66002193,1.1e+08,5.8
"Liar Liar ",86,"Tom Shadyac",293,"Maura Tierney",509,"Swoosie Kurtz",418,"Randall 'Tex' Cobb",255,73,243,220392,2070,0,"birthday|birthday wish|father disappoints child|lie|workaholic",1,"Color","Comedy|Fantasy|Romance",1997,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1",181395380,4.5e+07,6.8
"Lights Out ",81,"David F. Sandberg",26,"Billy Burke",2000,"Amiah Miller",509,"Gabriel Bateman",300,159,95,13523,3344,0,"based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title",0,"Color","Horror",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1",56536016,4900000,6.9
"Undisputed ",94,"Walter Hill",394,"Fisher Stevens",922,"Wes Studi",855,"Jon Seda",565,64,88,21542,2880,977,"boxing|fight|heavyweight champion|iceman|prison",2," Black and White","Action|Crime|Drama|Sport",2002,"English","USA","R",2.35,"http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1",12398628,2e+07,6.1
"Albino Alligator ",97,"Kevin Spacey",18000,"Viggo Mortensen",10000,"Joe Mantegna",1000,"Faye Dunaway",977,37,69,6632,13718,225,"bar|box office flop|hostage|new orleans louisiana|police",3,"Color","Crime|Drama|Thriller",1996,"English","USA","R",2.35,"http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1",326308,5e+06,6.1
"The Silence of the Lambs ",138,"Jonathan Demme",438,"Anthony Hopkins",12000,"Scott Glenn",826,"Anthony Heald",173,185,916,887467,13184,40000,"case file|fbi agent|psycho thriller|psychopath|serial killer",0,"Color","Crime|Drama|Horror|Thriller",1991,"English","USA","R",1.85,"http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1",130727000,1.9e+07,8.6
"East Is East ",96,"Damien O'Donnell",70,"Archie Panjabi",883,"Jimi Mistry",183,"Om Puri",163,82,161,14548,1616,1000,"england|marriage|muslim|pakistani|salford",0,"Color","Comedy|Drama",1999,"English","UK","R",1.85,"http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1",4170647,1900000,6.9
"Rugrats Go Wild ",80,"John Eng",0,"Elizabeth Daily",971,"Cree Summer",503,"Nancy Cartwright",362,45,35,5674,3017,329,"kid|oxygen|rugrats|trapped underwater|underwater",0,"Color","Adventure|Animation|Comedy|Family|Fantasy|Musical",2003,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1",39399750,2.5e+07,5.6
"2 Fast 2 Furious ",107,"John Singleton",309,"Paul Walker",23000,"Cole Hauser",787,"Mo Gallini",771,150,370,191912,25296,0,"bust|racing|shotgun|street racing|undercover agent",5,"Color","Action|Crime|Thriller",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1",127083765,7.6e+07,5.9
"Star Wars: Episode III - Revenge of the Sith ",140,"George Lucas",0,"Natalie Portman",20000,"Christopher Lee",16000,"Hayden Christensen",4000,359,3286,520104,44042,10000,"elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision",4,"Color","Action|Adventure|Fantasy|Sci-Fi",2005,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1",380262555,1.13e+08,7.6
"Me, Myself & Irene ",116,"Bobby Farrelly",101,"Robert Forster",889,"Tony Cox",624,"Rob Moran",79,155,481,185878,1711,0,"dissociative identity disorder|limousine|multiple personality|police|rhode island",1,"Color","Comedy",2000,"English","USA","R",1.85,"http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1",90567722,5.1e+07,6.5
"Pride & Prejudice ",135,"Joe Wright",456,"Talulah Riley",422,"Brenda Blethyn",286,"Simon Woods",241,177,1058,193455,1083,17000,"bachelor|england|gentleman|georgian|love",2,"Color","Drama|Romance",2005,"English","France","PG",2.35,"http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1",38372662,2.8e+07,7.8
"Confessions of a Teenage Drama Queen ",89,"Sara Sugarman",10,"Adam Garcia",811,"Carol Kane",636,"Glenne Headly",231,74,105,23408,2167,810,"band|friend|new york city|suburb|teenager",8,"Color","Comedy|Family|Music|Romance",2004,"English","Germany","PG",1.85,"http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1",29302097,1.5e+07,4.6
"American Pie 2 ",108,"J.B. Rogers",6,"Alyson Hannigan",3000,"Shannon Elizabeth",1000,"Natasha Lyonne",1000,142,431,200260,7872,0,"beach|beach house|college|party|student",0,"Color","Comedy",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1",145096820,3e+07,6.4
"Son of God ",170,"Christopher Spencer",25,"Roma Downey",329,"Amber Rose Revah",134,"Darwin Shaw",55,61,174,15448,775,15000,"bare chested male bondage|crucifixion|loincloth|reference to god|resurrection",1,"Color","Biography|Drama|History",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1",59696176,2.2e+07,5.6
"The Book Thief ",131,"Brian Percival",33,"Emily Watson",876,"Sophie Nélisse",526,"Roger Allam",326,252,236,98741,1985,53000,"basement|book|girl|library|track",1,"Color","Drama|War",2013,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1",21483154,1.9e+07,7.6
"Crossroads ",93,"Tamra Davis",33,"Britney Spears",1000,"Katherine Boecher",188,"Dave Allen",135,111,578,34219,1531,0,"audition|friendship|graduation|high school graduation|love",1,"Color","Comedy|Drama",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1",37188667,1.2e+07,3.3
"Run All Night ",114,"Jaume Collet-Serra",174,"Liam Neeson",14000,"Common",988,"Bruce McGill",655,236,205,76010,16992,15000,"death|drug dealer|limousine|limousine driver|one night",2,"Color","Action|Crime|Drama|Thriller",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1",26442251,5e+07,6.6
"A Low Down Dirty Shame ",100,"Keenen Ivory Wayans",322,"Jada Pinkett Smith",851,"Salli Richardson-Whitfield",543,"Charles S. Dutton",534,8,26,3924,3190,368,"drugs|ex cop|gun fu|machismo|shootout",2,"Color","Action|Comedy|Crime",1994,"English","USA","R",1.85,"http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1",29392418,1e+07,5.8
"The Box ",115,"Richard Kelly",219,"Frank Langella",902,"Gillian Jacobs",837,"Celia Weston",258,287,376,76303,2466,0,"alien|library|moral dilemma|nosebleed|supernatural power",1,"Color","Drama|Fantasy|Mystery|Thriller",2009,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1",15045676,1.6e+07,5.6
"Super Size Me ",100,"Morgan Spurlock",293,"Chemeeka Walker",0,"Amanda Kearsan",0,"Amelia Giancarlo",0,193,404,85028,0,0,"experiment|fast food|food industry|meal|overeating",2,"Color","Comedy|Documentary|Drama",2004,"English","USA","PG",1.78,"http://www.imdb.com/title/tt0390521/?ref_=fn_tt_tt_1",11529368,65000,7.3
"Creepshow 2 ",85,"Michael Gornick",10,"George Kennedy",3000,"Holt McCallany",273,"Dorothy Lamour",178,95,118,15956,3617,1000,"anthology|hit and run|hit by a car|living statue|melting woman",0,"Color","Comedy|Fantasy|Horror|Thriller",1987,"English","USA","R",1.85,"http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1",14000000,3500000,6
"No Escape ",103,"John Erick Dowdle",66,"Sterling Jerins",155,"Claire Geare",78,"Sahajak Boonthanakit",13,203,214,48675,259,16000,"asia|fictional country|hotel|rebellion|revolution",0,"Color","Action|Thriller",2015,"English","USA","R",1.85,"http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1",27285953,5e+06,6.8
"Safe Haven ",115,"Lasse Hallström",529,"David Lyons",576,"Noah Lomax",447,"Mimi Kirkland",325,184,160,78008,1554,23000,"abusive husband|chick flick|north carolina|secret|widower",0,"Color","Drama|Romance|Thriller",2013,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1",71346930,2.8e+07,6.7
"Death Becomes Her ",104,"Robert Zemeckis",0,"Bruce Willis",13000,"Meryl Streep",11000,"Isabella Rossellini",812,49,173,78974,25599,8000,"plastic surgeon|rejuvenation|revenge|rival|rivalry",3,"Color","Comedy|Fantasy|Horror",1992,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1",58422650,5.5e+07,6.4
"Shanghai Noon ",110,"Tom Dey",9,"Xander Berkeley",485,"Jason Connery",110,"Kate Luyben",95,146,293,96690,939,0,"19th century|chinese|princess|rescue|travel",2,"Color","Action|Adventure|Comedy|Western",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1",56932305,5.5e+07,6.6
"I Married a Strange Person! ",75,"Bill Plympton",45,"Charis Michelsen",5,"Bill Martone",2,"Richard Spore",0,19,21,1428,7,178,"claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex",0,"Color","Animation|Comedy|Drama|Fantasy|Sci-Fi",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1",203134,250000,7
"A Simple Plan ",121,"Sam Raimi",0,"Gary Cole",989,"Bridget Fonda",888,"Chelcie Ross",244,125,416,50656,2365,0,"bag of money|found money|minnesota|screenplay adapted by author|snow",1,"Color","Crime|Drama|Thriller",1998,"English","UK","R",1.85,"http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1",16311763,1.7e+07,7.5
"Say It Isn't So ",95,"J.B. Rogers",6,"Eddie Cibrian",849,"Chris Klein",841,"Jack Plotnick",248,87,91,11375,2413,295,"bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding",2,"Color","Comedy|Romance",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1",5516708,2.5e+07,4.9
"The Purge: Anarchy ",103,"James DeMonaco",65,"Noel Gugliemi",2000,"Zach Gilford",971,"Roberta Valderrama",908,285,244,92364,6807,15000,"held at gunpoint|machete|masked man|sequel|violence",0,"Color","Action|Horror|Sci-Fi|Thriller",2014,"English","USA","R",2.35,"http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1",71519230,9e+06,6.5
"The Funeral ",99,"Abel Ferrara",220,"Isabella Rossellini",812,"Vincent Gallo",787,"Gretchen Mol",599,48,48,6921,3337,344,"1930s|madness|murder|new york city|violence",3,"Color","Crime|Drama",1996,"English","USA","R",1.85,"http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1",1227324,12500000,6.6
"Warlock: The Armageddon ",98,"Anthony Hickox",16,"Julian Sands",687,"Zach Galligan",233,"Paula Marshall",222,22,49,3943,1806,217,"druid|eclipse|rune|scalping|warlock",0,"Color","Fantasy|Horror",1993,"English","USA","R",1.66,"http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1",3902679,3e+06,5.3
"We Own the Night ",117,"James Gray",115,"Robert Duvall",3000,"Oleg Taktarov",327,"Antoni Corone",97,222,199,72693,3681,0,"arrest|drugs|loyalty|raid|violence",4,"Color","Crime|Drama|Thriller",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1",28563179,2.1e+07,6.9
"Love Happens ",109,"Brandon Camp",7,"Judy Greer",2000,"Sasha Alexander",980,"Frances Conroy",827,111,77,25344,4947,0,"florist|motivational speaker|self help guru|seminar|widower",0,"Color","Drama|Romance",2009,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1",22927390,1.8e+07,5.6
"The Tourist ",103,"Florian Henckel von Donnersmarck",207,"Johnny Depp",40000,"Angelina Jolie Pitt",11000,"Rufus Sewell",3000,321,374,176606,55175,25000,"police surveillance|surveillance van|tailing a suspect|tourist|venice italy",0,"Color","Action|Romance|Thriller",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1",67631157,1e+08,6
"ParaNorman ",92,"Chris Butler",28,"Anna Kendrick",10000,"Kodi Smit-McPhee",884,"Elaine Stritch",586,328,176,72287,13597,12000,"curse|ghost|outcast|witch|zombie",0,"Color","Adventure|Animation|Comedy|Family|Fantasy",2012,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1",55994557,6e+07,7
"Rabbit Hole ",91,"John Cameron Mitchell",263,"Dianne Wiest",967,"Jon Tenney",289,"Tammy Blanchard",192,248,144,40618,1582,0,"car|comic book|comic book artist|iphone|memory",0,"Color","Drama",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1",2221809,5e+06,7
"Airplane! ",88,"Jim Abrahams",104,"Peter Graves",628,"Lloyd Bridges",575,"Barbara Billingsley",318,134,427,160281,2726,16000,"air traffic controller|airplane|airport|pilot|spoof",0,"Color","Comedy",1980,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1",83400000,3500000,7.8
"Taking Woodstock ",120,"Ang Lee",0,"Imelda Staunton",579,"Kevin Chamberlin",489,"Demetri Martin",210,210,71,24663,1500,0,"female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity",12,"Color","Comedy|Drama|Music",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1",7443007,3e+07,6.7
"Aloha ",105,"Cameron Crowe",488,"Emma Stone",15000,"Bradley Cooper",14000,"Bill Murray",13000,138,172,39778,44037,11000,"box office flop|critically bashed|hawaii|one word title|written by director",1,"Color","Comedy|Drama|Romance",2015,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1",20991497,3.7e+07,5.4
"In the Bedroom ",138,"Todd Field",143,"Tom Wilkinson",1000,"Sissy Spacek",874,"Karen Allen",783,179,510,32415,3970,951,"doctor|maine|only son|school choir|summer",1,"Color","Crime|Drama",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1",35918429,1700000,7.5
"Side Effects ",106,"Steven Soderbergh",0,"Channing Tatum",17000,"David Costabile",681,"Katie Lowes",273,450,274,148334,18469,29000,"clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect",0,"Color","Crime|Drama|Thriller",2013,"English","USA","R",1.85,"http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1",32154410,3e+07,7.1
"Another Year ",129,"Mike Leigh",608,"Jim Broadbent",1000,"Imelda Staunton",579,"Phil Davis",386,248,141,23629,2265,0,"autumn|four seasons|friend|looking at one's self in a mirror|unhappiness",0,"Color","Comedy|Drama",2010,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1",3205244,1e+07,7.3
"Monsters ",94,"Gareth Edwards",380,"Scoot McNairy",660,"Whitney Able",280,"Ricky Catter",113,344,451,75669,1118,19000,"alien|alien invasion|destroyed building|destruction|mexico",0,"Color","Drama|Sci-Fi|Thriller",2010,"English","UK","R",2.35,"http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1",237301,5e+05,6.4
"The Green Hornet ",119,"Michel Gondry",1000,"Christoph Waltz",11000,"Tom Wilkinson",1000,"Chad L. Coleman",741,447,443,136019,13391,14000,"heir|kung fu|party|playboy|superhero",0,"Color","Action|Comedy|Crime|Sci-Fi|Thriller",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1",98780042,1.2e+08,5.8
"Prom ",104,"Joe Nussbaum",18,"Cameron Monaghan",1000,"Thomas McDonell",962,"Aimee Teegarden",741,83,32,12702,5190,0,"decoration|father daughter relationship|high school|prom|teenager",0,"Color","Comedy|Drama",2011,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1",10106233,8e+06,5.4
"Pan's Labyrinth ",112,"Guillermo del Toro",0,"Ivana Baquero",634,"Maribel Verdú",269,"Sergi López",250,406,1083,467234,1322,27000,"fairy|fairy tale|faun|princess|spain",0,"Color","Drama|Fantasy|War",2006,"Spanish","Spain","R",1.85,"http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1",37623143,13500000,8.2
"Bullets Over Broadway ",98,"Woody Allen",11000,"Jim Broadbent",1000,"Chazz Palminteri",979,"Dianne Wiest",967,67,86,29385,4302,979,"actress|bodyguard|new york city|play|playwright",4,"Color","Comedy|Crime",1994,"English","USA","R",1.85,"http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1",13383737,2e+07,7.5
"Bridge of Spies ",142,"Steven Spielberg",14000,"Tom Hanks",15000,"Mark Rylance",535,"Amy Ryan",423,459,355,178118,16944,55000,"cia|cold war|lawyer|negotiation|spy",0,"Color","Drama|History|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1",72306065,4e+07,7.6
"Bend It Like Beckham ",112,"Gurinder Chadha",98,"Archie Panjabi",883,"Parminder Nagra",528,"Anupam Kher",397,161,438,89806,2201,0,"hinduism|marriage engagement|soccer|team|tradition",0,"Color","Comedy|Drama|Romance|Sport",2002,"English","UK","PG-13",1.85,"http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1",32541719,3500159,6.7
"The Messenger: The Story of Joan of Arc ",158,"Luc Besson",0,"Paul Brooke",51,"David Bailie",40,"Rab Affleck",15,111,390,55889,144,0,"cathedral|dauphin|france|trial|wartime rape",0,"Color","Adventure|Biography|Drama|History|War",1999,"English","France","R",2.35,"http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1",14131298,3.9e+08,6.4
"The Other End of the Line ",106,"James Dodson",8,"Larry Miller",611,"Anupam Kher",397,"Shriya Saran",315,22,26,4820,1739,0,"birthday|call center|fiance|hotel|indian",2,"Color","Comedy|Drama|Romance",2008,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1",115504,1.4e+07,6.2
"Unbroken ",137,"Angelina Jolie Pitt",11000,"Finn Wittrock",769,"Jack O'Connell",698,"Alex Russell",465,322,351,103589,2938,35000,"emaciation|male nudity|plane crash|prisoner of war|torture",0,"Color","Biography|Drama|Sport|War",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1",115603980,6.5e+07,7.2
"The Others ",101,"Alejandro Amenábar",448,"Fionnula Flanagan",482,"Elaine Cassidy",203,"Eric Sykes",83,239,1109,268581,956,20000,"curtain|haunting|mansion|mute|xeroderma pigmentosum",0,"Color","Fantasy|Horror|Thriller",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1",96471845,1.7e+07,7.6
"Six Days Seven Nights ",98,"Ivan Reitman",425,"Harrison Ford",11000,"Anne Heche",643,"Amy Sedaris",397,97,164,60910,12729,0,"airplane|island|pilot|storm|thunderstorm",2,"Color","Action|Adventure|Comedy|Romance",1998,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1",74329966,7e+07,5.7
"George Washington ",90,"David Gordon Green",234,"Paul Schneider",552,"Eddie Rouse",61,"Damian Jewan Lee",15,75,76,6246,642,451,"cover up|north carolina|redemption|small town|teenager",0,"Color","Drama",2000,"English","USA","Unrated",2.35,"http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1",241816,42000,7.5
"Three to Tango ",98,"Damon Santostefano",4,"Matthew Perry",2000,"Oliver Platt",1000,"David Ramsey",677,81,121,16372,4843,311,"architect|award|farce|love|misunderstanding",2,"Color","Comedy|Romance",1999,"English","Australia","PG-13",1.37,"http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1",10544143,2e+07,6.1
